,index,long,lat,name,info,a,b,c,d,e,f
83,83,-105.066639,39.862390999999995,Costco - Westminster; Gas; #0440,303-650-1476,6400 W 92nd Ave,Westminster,CO,80030,USA,
84,84,-104.877403,39.557748,Costco - Douglas County; Gas; #0468,303-708-0012,8686 Park Meadows Center Dr,Littleton,CO,80124,USA,
85,85,-104.868706,39.690653999999995,Costco - Aurora; Gas; #0439,303-750-2116,1471 South Havana,Aurora,CO,80012,USA,
86,86,-105.01440500000001,39.709312,Business Center; #0650,303-830-4533,400 S Zuni St; I-25 Exit 207,Denver,CO,80223,USA,
87,87,-105.08653400000001,39.636904,Costco - SW Denver; Gas; #0443,303-933-4931,7900 W Quincy Ave,Littleton,CO,80123,USA,
88,88,-80.29903,25.923078,Costco - Miami Lakes; Gas; #0181,305-825-9818,16580 NW 59th Ave,Miami Lakes,FL,33014,USA,
89,89,-80.15411999999998,25.913716,Costco - North Miami; Gas; #1332,305-955-8711,14800 Sole Mia Way,North Miami,FL,33181,USA,
90,90,-80.41256,25.653246,Costco - Kendall; Gas; #1023,305-964-4227,13450 SW 120th Street,Miami,FL,33186,USA,
91,91,-104.509417,50.442856,Costco - Regina; Gas; #1296,306-271-0912,2110 Anaquod Rd,Regina,SK,S4V 3T7,CAN,
92,92,-106.530491,52.090901,Costco - South Saskatoon; Gas; #1234,306-700-2883,225 Market Dr,Saskatoon,SK,S7V 0L2,CAN,
93,93,-106.67489099999999,52.19415,Costco - Saskatoon; Gas; #0152,306-933-4262,115 Marquis Drive,Saskatoon,SK,S7R 1C7,CAN,
94,94,-89.583497,40.672382,Costco - East Peoria; Gas; #1126,309-427-2930,301 West Washington,East Peoria,IL,61611,USA,
95,95,-118.342576,33.918618,Business Center; Gas/Diesel; #0564,310-220-8826,12530 Praire Ave,Hawthorne,CA,90250,USA,
96,96,-118.333785,33.943286,Costco - Inglewood; Gas; #0769,310-242-2777,3560 West Century Blvd,Inglewood,CA,90303,USA,
97,97,-118.373465,33.899815999999994,Costco - Hawthorne; Gas; #0671,310-727-0403,14501 Hindry Ave; I-405 Exit 43,Hawthorne,CA,90250,USA,
98,98,-118.447453,33.993031,Costco - Culver City; Gas; #0479,310-754-2003,13463 Washington Blvd,Marina del Rey,CA,90292,USA,
99,99,-118.334226,33.80822,Costco - Torrance; Gas/Diesel; #1202,310-891-1020,2640 Lomita Blvd,Torrance,CA,90505,USA,
100,100,-87.66686999999996,41.86271,Costco - Chicago South Loop; Gas; #1107,312-492-3600,1430 S Ashland Ave,Chicago,IL,60608,USA,
101,101,-90.338503,38.508146,Costco - South St Louis; Gas; #0368,314-894-7953,4200 Rusty Rd,St Louis,MO,63128,USA,
102,102,-76.270593,43.056499,Costco - Syracuse; Gas; #1176,315-883-2361,120 Township Blvd,Camillus,NY,13031,USA,
103,103,-97.22403,37.679637,Costco - Wichita; Gas/Diesel; #1200,316-226-7142,9700 E Kellog; I-35 Exit 50,Wichita,KS,67207,USA,
104,104,-86.088636,39.637539000000004,Costco - South Indianapolis; Gas/Diesel; #1227,317-360-7076,4628 E County Line Rd; I-65 Exit 101,Indianapolis,IN,46237,USA,
105,105,-86.22658100000002,39.91752,Costco - Fortune Park; Gas/Diesel; #0347,317-532-1608,9010 Michigan Rd; I-465 Exit 27,Indianapolis,IN,46268,USA,
106,106,-86.061667,39.913664000000004,Costco - Castleton; Gas; #0346,317-558-1453,6110 East 86th; I-405 Exit 35,Castleton,IN,46250,USA,
107,107,-91.617249,41.69748,Costco - Coralville; Gas; #1111,319-545-3200,2900 Heartland Dr; I-80 Exit 240,Coralville,IA,52241,USA,
108,108,-94.198622,45.547779,Costco - St Cloud; Gas; #1344,320-316-9865,3636 2nd St S,St Cloud,MN,56301,USA,
109,109,-118.26396499999998,34.129009,Costco - Los Feliz; #0130,323-644-5201,2901 Los Feliz Blvd; I-5 Exit 141,Los Angeles,CA,90039,USA,
110,110,-118.14126200000001,33.994516,Business Center; Gas; #0569,323-767-2640,6333 Telegraph Rd; I-5 Exit 128,Commerce,CA,90040,USA,
111,111,-118.103251,34.037264,Costco - Monterey Park; Gas; #1318,323-890-1904,2000 Markey Place Dr,Monterey Park,CA,91755,USA,
112,112,-81.50670600000002,41.263626,Costco - Boston Heights; Gas/Diesel; #1226,330-341-7008,6720 Bass Pro Dr; I-80 Exit 180,Boston Heights,OH,44236,USA,
113,113,-86.150351,32.364358,Costco - Montgomery; Gas; #1009,334-270-7460,8251 Eastchase Pkwy; I-85 Exit 11,Montgomery,AL,36117,USA,
114,114,-79.883605,36.057402,Costco - Greensboro; Gas; #0339,336-291-4013,4201 West Wendover Ave,Greensboro,NC,27407,USA,
115,115,-80.317767,36.064301,Costco - Winston-Salem; Gas; #0361,336-970-2303,1085 Hanes Mall Blvd,Winston Salem,NC,27103,USA,
116,116,-92.04356899999999,30.156278000000004,Costco - Lafayette; Gas/Diesel; #1201,337-541-7025,201 Meadow Farm Rd,Lafayette,LA,70508,USA,
117,117,-122.47229399999999,45.622389,Costco - East Vancouver; Gas; #1086,360-258-6221,19610 SE 1st Street,Vancouver,WA,98607,USA,
118,118,-122.915908,46.996217,Costco - Tumwater; Gas; #0064,360-357-9743,5500 Littlerock Rd SW; I-5 Exit 102,Tumwater,WA,98512,USA,
119,119,-123.125421,48.077069,Costco - Sequim; Gas; #0104,360-406-2023,955 W Washington St,Sequim,WA,98382,USA,
120,120,-122.76050500000001,47.06002,Costco - Lacey; Gas/Diesel; #0740,360-412-3500,1470 Marvin Rd NE; I-5 Exit 111,Lacey,WA,98516,USA,
121,121,-122.191152,48.147558000000004,Costco - Marysville; Gas; #0642,360-652-4530,16616 Twin Lakes Ave; I-5 Exit 206,Marysville,WA,98271,USA,
122,122,-122.51480900000001,48.791767,Costco - Bellingham; Gas/Diesel; #1216,360-671-6947,4125 Arctic Ave; I-5 Exit 257/258,Bellingham,WA,98226,USA,
123,123,-122.68118999999999,47.656953,Costco - Silverdale; Gas/Diesel; #0013,360-692-1140,10000 Mickelberry Rd NW,Silverdale,WA,98383,USA,
124,124,-122.33696,48.454334,Costco - Burlington; Gas; #0662,360-757-5703,1725 S Burlington Blvd,Burlington,WA,98233,USA,
125,125,-122.60376200000002,45.685485,Costco - Vancouver; Gas/Diesel; #0772,360-828-2262,6720 NE 84th Street,Vancouver,WA,98665,USA,
126,126,-73.384357,45.503638,Costco - St Hubert; Gas/Diesel; #1359,379-314-0046,1000 Boul Saint-Bruno,Saint-Bruno,QC,J3V 6P4,CAN,
127,127,-96.110247,41.177821,Costco - La Vista; Gas/Diesel; #1237,402-378=5622,12515 Portside Pkwy,La Vista,NE,68128,USA,
128,128,-96.10506600000001,41.265701,Costco - Omaha; Gas; #1012,402-952-3240,12300 West Dodge Rd,Omaha,NE,68154,USA,
129,129,-113.98863999999999,51.078829999999996,Costco - North Calgary; #0056,403-299-1620,2853 32nd Street NE,Calgary,AB,T1Y 6T7,CAN,
130,130,-114.044867,50.98953,Costco - South Calgary; Gas; #0251,403-313-7650,99 Heritage Gate SE,Calgary,AB,T2H 3A7,CAN,
131,131,-112.794871,49.660711,Costco - Lethbridge; Gas; #0160,403-320-8903,3200 Mayor Magrath Drive South,Lethbridge,AB,T1K 6Y6,CAN,
132,132,-113.802295,52.266740999999996,Costco - Red Deer; Gas; #0164,403-340-1924,162 Leva Ave; Hwy 2 Exit 391,Red Deer,AB,T4E 1B9,CAN,
133,133,-114.16206000000001,51.15717,Costco - NW Calgary; Gas; #0543,403-516-3701,11588 Sarcee Trail NW; Hwy 201 Exit 46,Calgary,AB,T3R 0A1,CAN,
134,134,-113.984357,51.210648,Costco - Rocky View; Gas; #1076,403-516-5052,300-293020 Crossiron Blvd; Hwy 2 Exit 275,Rocky View,AB,T4A 0J6,CAN,
135,135,-110.73263200000001,50.062658,Costco - Medicine Hat; Gas; #0593,403-581-5702,2350 Box Springs Blvd NW,Medicine Hat,AB,T1C 0C8,CAN,
136,136,-113.94888999999999,50.70502000000001,Costco - Okotoks; Gas; #1069,403-995-5150,202-104 Southbank Blvd,Okotoks,AB,T1S 0G1,CAN,
137,137,-84.336724,33.872188,Costco - Brookhaven; Gas; #1084,404-460-1915,500 Brookhaven Ave,Atlanta,GA,30319,USA,
138,138,-97.531028,35.605063,Costco - Oklahoma City; Gas; #1350,405-832-5110,13200 N Western Ave,Oklahoma City,OK,73114,USA,
139,139,-112.002503,46.615453,Costco - Helena; Gas; #0633,406-495-7050,2195 E Custer Ave,Helena,MT,59602,USA,
140,140,-114.037797,46.894403999999994,Costco - Missoula; Gas; #0067,406-543-6445,3220 N Reserve St,Missoula,MT,59808,USA,
141,141,-111.07065300000001,45.71334,Costco - Bozeman; Gas; #0096,406-585-0383,2505 Catron St; I-90 Exit 305,Bozeman,MT,59718,USA,
142,142,-108.57290800000001,45.75336,Costco - Billings; Gas/Diesel; #0069,406-652-8765,2290 King Ave West,Billings,MT,59102,USA,
143,143,-114.33241899999999,48.234601,Costco - kalispell; Gas; #0745,406-758-2500,2330 Hwy 93 N,Kalispell,MT,59901,USA,
144,144,-81.424902,28.495409000000002,Costco South Orlando; Gas; #1235,407-586-7221,4696 Gardens Park Blvd,Orlando,FL,32839,USA,
145,145,-81.300069,28.599535999999997,Costco - East Orlando; Gas; #0185,407-681-2119,3333 University Blvd,Winter Park,FL,32792,USA,
146,146,-81.417349,28.660994,Costco - Altamonte Springs; Gas; #0183,407-786-7802,741 Orange Ave; I-4 Exit 92,Altamonte Springs,FL,32714,USA,
147,147,-121.851795,37.309751,Costco - San Jose; Gas; #0148,408-275-0199,2201 Senter Rd,San Jose,CA,95112,USA,
148,148,-121.99466799999999,37.372026,Costco - Sunnyvale; Gas; #0423,408-470-8000,150 Lawrence Station Rd; Hwy 101 Exit 394,Sunnyvale,CA,94086,USA,
149,149,-121.938725,37.35726500000001,Costco - Santa Clara; Gas; #0129,408-567-9000,1601 Coleman Ave,Santa Clara,CA,95050,USA,
150,150,-121.88416699999999,37.390484,Costco - NE San Jose; Gas; #1004,408-678-2150,1709 Automation Pkwy; I-680 Exit 5,San Jose,CA,95131,USA,
151,151,-121.879999,37.253214,Costco - Almaden; #0470,408-723-0964,5301 Almaden Expressway; Hwy 85 Exit 5,San Jose,CA,95118,USA,
152,152,-121.556611,37.008381,Costco - Gilroy; Gas; #0760,408-848-0700,7251 Camino Arroyo; Hwy 101 Exit 356,Gilroy,CA,95020,USA,
153,153,-121.78469,37.243210999999995,Costco - Great Oaks; Gas/Diesel; #1267,408-908-7929,6898 Raleigh Rd,San Jose,CA,95119,USA,
154,154,-76.730744,39.15582,Costco - Arundel Mills; Gas; #0325,410-379-3103,7077 Arundel Mills Cir,Hanover,MD,21076,USA,
155,155,-76.793645,39.186369,Costco - Columbia; Gas; #1000,410-423-4052,6675 Marie Curie Dr,Elkridge,MD,21075,USA,
156,156,-76.444935,39.357858,Costco - White Marsh; Gas; #0208,410-574-7563,9919 Pulaski Hwy,Baltimore,MD,21220,USA,
157,157,-76.60042,39.196360999999996,Costco - Glen Burnie; Gas; #0203,410-590-8603,575 East Ordnance Rd,Glen Burnie,MD,21060,USA,
158,158,-79.92174399999998,40.402736,Costco - Homestead; Gas; #0649,412-205-1002,501 W Waterfront Dr W,Homestead,PA,15120,USA,
159,159,-80.165628,40.45959600000001,Costco - Robinson; Gas; #0332,412-490-2204,202 Costco Dr,Pittsburgh,PA,15205,USA,
160,160,-72.620777,42.1317,Costco - West Springfield; Gas; #0302,413-747-5518,119 Daggett Dr; I-91 Exit 13,West Springfield,MA,01089,USA,
161,161,-122.410808,37.770711999999996,Costco - San Francisco; #0144,415-626-4388,450 10th Street,San Francisco,CA,94103,USA,
162,162,-122.55063799999999,38.087262,Costco - Novato; #0141,415-899-1332,300 Vintage Way; Hwy 101 Exit 460/462,Novato,CA,94945,USA,
163,163,-79.507102,43.623238,Costco - Etobicoke; Gas; #0524,416-251-2832,50 Queen Elizabeth Blvd,Etobicoke,ON,M8Z 1M1,CAN,
164,164,-79.296688,43.759021999999995,Costco - Scarborough; Gas; #0537,416-288-0033,1411 Warden Ave,Scarborough,ON,M1R 2S3,CAN,
165,165,-79.454842,43.730577000000004,Costco - Downsview; #0535,416-635-8175,100 Billy Bishop Way,North York,ON,M3K 2C8,CAN,
166,166,-71.268514,46.839492,Costco - Quebec; Gas; #0503,418-627-5100,440 rue Bouvier,Quebec,QC,G2J 1E3,CAN,
167,167,-71.32816700000002,46.780983,Costco - Sainte-Foy; Gas; #0516,418-656-0666,3233 rue Watt,Quebec,QC,G1X 4W2,CAN,
168,168,-71.084096,48.382756,Costco - Chicoutimi; #0536,418-696-1112,2500 boul Talbot RR4,Chicoutimi,QC,G7H 5B1,CAN,
169,169,-71.270739,46.727114,Costco - Levis; Gas; #1186,418-834-7100,1160 Rue de la Concorde,Levis,QC,G6W 0M4,CAN,
170,170,-83.626029,41.675652,Costco - Toledo; Gas/Diesel; #1007,419-381-5000,3405 West Central Ave,Toledo,OH,43606,USA,
171,171,-122.052198,47.550672999999996,Costco - Issaquah; Gas; #0110,425-313-0965,1801 10th Avenue NW,Issaquah,WA,98027,USA,
172,172,-74.67451899999998,40.262538,Costco - Princeton; Gas; #1199,425-313-8100,4100 Quakerbridge Rd,Lawrence Twn,NJ,08648,USA,
173,173,-122.21016999999999,47.903571,Costco - Everett; Gas; #0114,425-379-7451,10200 19th Avenue SE,Everett,WA,98208,USA,
174,174,-122.08962199999999,47.677219,Costco - Redmond; Gas/Diesel; #1225,425-406-5382,7725 188th Ave NE,Redmond,WA,98052,USA,
175,175,-122.30983799999998,47.825866,Business Center; Gas; #0115,425-640-7700,19105 Hwy-99,Lynnwood,WA,98036,USA,
176,176,-122.27341399999999,47.832634999999996,Costco - Lynwood; Gas/Diesel; #1190,425-697-1062,18109 33rd Ave W,Lynnwood,WA,98037,USA,
177,177,-122.14753200000001,47.780167,Costco - Woodinville; Gas/Diesel; #0747,425-806-7700,24008 Snohomish-Woodinville Rd SE,Woodinville,WA,98072,USA,
178,178,-122.181657,47.680819,Costco - Kirkland; Gas; #0008,425-827-1693,8629 120th Avenue NE; I-405 Exit 18,Kirkland,WA,98033,USA,
179,179,-78.490575,38.065549,Costco - Charlottesville; Gas/Diesel; #1184,434-328-7023,3171 District Ave,Charlottesville,VA,22901,USA,
180,180,-113.52351100000001,37.12246500000001,Costco - St George; Gas/Diesel; #0672,435-256-0003,835 North 3050 East,St George,UT,84790,USA,
181,181,-81.446493,41.524267,Costco - Mayfield Heights; Gas; #0344,440-544-1350,1409 Golden Gate Blvd; I-271 Exit 34,Cleveland,OH,44124,USA,
182,182,-81.815714,41.317393,Costco - Strongsville; Gas; #0625,440-783-3415,16690 Royalton Rd; I-71 Exit 231,Strongsville,OH,44136,USA,
183,183,-82.011715,41.459832,Costco - Avon; Gas; #0343,440-930-0103,35804 Detroit Rd,Avon,OH,44011,USA,
184,184,-76.787027,39.404556,Costco - Owings Mills; Gas; #1326,443-501-7043,10270 Mill Run Circle; I-795 Exit 4,Owings Mills,MD,21117,USA,
185,185,-73.850055,45.631536,Costco - Boisbriand; #0521,450-420-4500,3600 Ave Des Grandes Tourelles,Boisbriand,QC,J7H 0A1,CAN,
186,186,-73.51672099999998,45.37101,Costco - Candiac; Gas; #0556,450-444-3453,60 rue Strasbourg,Candiac,QC,J5R 0B4,CAN,
187,187,-73.479073,45.434095,Costco - Brossard; Gas; #0521,450-444-4466,9430 boul Taschereau,Brossard,QC,J4X 2W2,CAN,
