index,long,lat,name,info,a,b,c,d,e
56,-83.610179,35.985640000000004,*Smoky Mountain H-D Kodak,865-225-0050,3607 Outdoor Sportsman Pl,Kodak,TN,37738,USA
57,-103.50824899999999,44.413607,*Sturgis H-D,605-347-2056,1040 Junction Ave,Sturgis,SD,57785,USA
58,-134.40463,58.299393,*Taku H-D,888-586-4100,230 S Franklin St #103,Juneau,AK,99801,USA
59,-84.469338,33.888742,*Tomahawk H-D,678-401-8333,455 Legends Place SE #854,Atlanta,GA,30339,USA
60,-110.065251,31.712178,*Tombstone H-D,520-457-1482,526 E Allen St,Tombstone,AZ,85638,USA
61,-93.24351999999999,44.855356,*Twin Cities H-D Mall of America,952-854-1225,344 W Market,Bloomington,MN,55425,USA
62,-84.06683597713,35.547643974422996,*US 129 Dragon H-D,865-856-5942,5908 Calderwood Hwy,Tallassee,TN,37878,USA
63,-75.975193,36.847719,*Virginia Beach H-D,757-425-2458,1908 Atlantic Ave,Virginia Beach,VA,23451,USA
64,-90.061548,29.95782,*VooDoo H-D,504-561-0263,812 Decatur St,New Orleans,LA,70116,USA
65,-157.8297889977,21.279254006221002,*Waikiki H-D Royal Hawaiian,808-791-7880,2201 Kalakaua Ave 2nd Floor Bldg A #202,Honolulu,HI,96815,USA
66,-88.115734,41.948345,*Wild One H-D,630-834-6571,152 Stratford Dr,Bloomingdale,IL,60108,USA
67,-87.900982,41.976359,*Windy City H-D O'Hare Int'l Airport,773-686-4886,11601 W Touhy Ave,Chicago,IL,60666,USA
68,-84.726474,45.778782,*Zips Mackinaw City H-D,231-436-5331,314 S Huron Ave,Mackinaw City,MI,49701,USA
69,-76.733142,39.983447,1st Capital H-D,717-854-3214,100 Arsenal Rd,York,PA,17404,USA
70,-83.374879,42.655243,ABC H-D,248-674-3175,4405 MI-59,Waterford,MI,48328,USA
71,-83.0136920046,39.960325984284,AD Farrow Co H-D,614-228-6353,491 W Broad St,Columbus,OH,43215,USA
72,-82.92631999999999,40.26396,AD Farrow H-D Shop at North Star,740-965-9900,7754 E US-36,Sunbury,OH,43074,USA
73,-89.07563600689001,36.427938016131,Abernathy's H-D,866-452-2775,1703 W Main St,Union City,TN,38261,USA
74,-78.13136300000001,48.559298,Abitibi H-D,819-732-4677,131 Route 109 Sud,Amos,QC,J9T 3A2,CAN
75,-94.10116799174999,33.449869025497996,Adam Smith's Texarkana H-D,903-832-4366,802 Walton Dr,Texarkana,TX,75501,USA
76,-81.530266,30.323915999999997,Adamec H-D at Regency,904-641-3735,10399 Atlantic Blvd,Jacksonville,FL,32225,USA
77,-81.57358,30.221131,Adamec H-D of Baymeadows,904-493-1931,8909 Baymeadows Rd,Jacksonville,FL,32256,USA
78,-81.71234001405,30.189550006761998,Adamec H-D of Orange Park,904-215-1931,1520 Wells Rd,Orange Park,FL,32073,USA
79,-74.212762,43.047779,Adirondack H-D,518-883-1128,106 Bellen Rd,Broadalbin,NY,12025,USA
80,-81.4833640214,40.501783015206,Adventure H-D,330-364-6519,1465 OH39 NW,Dover,OH,44622,USA
81,-90.858191,44.311323,Al Muth H-D Sales,715-284-4725,N6630 CR-A,Black River Falls,WI,54615,USA
82,-76.78826996125,38.54052898474001,All American H-D,301-274-5000,8126 Leonardtown Rd,Hughesville,MD,20637,USA
83,-80.34059001132,26.122940015047003,Alligator Alley H-D,954-414-4135,201 International Pkwy,Sunrise,FL,33325,USA
84,-97.06274399533001,33.153392979875,American Eagle H-D,888-787-8691,5920 S I-35 Service Rd,Corinth,TX,76210,USA
85,-71.74950001761,42.484070006757,American H-D Leominster,978-537-6919,1437 SR-12,Leominster,MA,01453,USA
86,-78.84828996844,43.050234038381994,American H-D North Tonawanda,716-692-7200,1149 Erie Ave,North Tonawanda,NY,14120,USA
87,-88.21907398290001,40.132269999011996,Andrae's H-D,217-328-2092,2010 N Lincoln Ave,Urbana,IL,61801,USA
88,-97.06818502396,47.948280964046,Andy's H-D,701-775-6098,2756 N Washington St,Grand Forks,ND,58203,USA
89,-118.1630929838,34.678675979375,Antelope Valley H-D,661-948-5959,1759 W Ave J-12,Lancaster,CA,93534,USA
90,-95.39625501260001,45.84833501838101,Apol's H-D,320-763-9800,1515 42nd Ave,Alexandria,MN,56308,USA
91,-95.23898201063,45.015987977384995,Apol's H-D Raymond,320-967-4511,102 S Cofield St,Raymond,MN,56282,USA
92,-77.05201702192,40.238721007481,Appalachian H-D,717-766-9366,6695 Carlisle Pike,Mechanicsburg,PA,17050,USA
93,-87.27876400575,36.504424978047,Appleton H-D,931-648-1607,2501 US-41A Byp,Clarksville,TN,37043,USA
94,-88.48739697597,44.285506037995006,Appleton H-D,920-757-1651,5322 Clairemont Dr,Appleton,WI,54913,USA
95,-77.681507,42.374266999999996,Arkport H-D,607-295-7426,7611 Industrial Park Rd,Hornell,NY,14843,USA
96,-112.2370900399,33.63393000327,Arrowhead H-D,623-247-5542,16130 N Arrowhead Fountains Center Dr,Peoria,AZ,85382,USA
97,-82.09866302086999,39.352668011561,Athens H-D,740-592-1692,165 Columbus Rd,Athens,OH,45701,USA
98,-74.53164696693001,39.448519013822,Atlantic County H-D,609-652-5555,219 E White Horse Pike,Galloway,NJ,08205,USA
99,-105.204178,39.703538,Avalanche H-D,303-238-0425,18425 W Colfax Ave,Golden,CO,80401,USA
100,-80.33173101022,39.263742975890004,B & B H-D,304-623-0484,100 Alexander Ave,Nutter Fort,WV,26301,USA
101,-110.6051899865,49.973806003107995,Badlands H-D,403-527-9235,1923 2nd Ave,Dunmore,AB,T1B 0K3,CAN
102,-75.23142700083,41.552138999104,Baer Sport Center,570-253-2000,330 Grandview Ave,Honesdale,PA,18431,USA
103,-119.08041601059999,35.44067999348,Bakersfield H-D,661-325-3644,35089 Merle Haggard Dr,Bakersfield,CA,93308,USA
104,-87.43151295930001,46.547991000115005,Bald Eagle H-D,906-228-5330,2080 US 41 W,Marquette,MI,49855,USA
105,-75.08990996517,39.890120001509,Barb's H-D,856-456-4141,926 N Black Horse Pike,Mt Ephraim,NJ,08059,USA
106,-88.72546004131,41.936227977275,Barbed Wire H-D,815-756-4558,969 Peace Rd,DeKalb,IL,60115,USA
107,-122.66712801530001,49.162369966506006,Barnes H-D,604-534-6044,8859 201 St,Langley,BC,V2Y 0C8,CAN
108,-120.4028510022,50.65979998558699,Barnes H-D Kamloops,250-828-0622,1465 Iron Mask Rd,Kamloops,BC,V2C 5N6,CAN
109,-123.54048402040002,48.453586008399,Barnes H-D1,250-475-1345,2940 Ed Nixon Tce,Victoria,BC,V9B 0B2,CAN
110,-106.3301980029,31.742586996406,Barnett H-D,800-453-1513,8272 Gateway Blvd E,El Paso,TX,79907,USA
111,-106.7931499611,32.288660025224,Barnett's Las Cruces H-D,575-541-1440,2600 Lakeside Dr,Las Cruces,NM,88005,USA
112,-79.68823998235,44.34067999944,Barrie H-D,705-728-5322,311 Bryne Dr,Barrie,ON,L4N 8V4,CAN
113,-118.4450649842,33.987341970205,Bartels H-D,310-823-1112,4141 Lincoln Blvd,Marina Del Rey,CA,90292,USA
114,-95.93565797433,36.760173020884,Bartlesville Cycle Sports,918-336-3800,231 NE Washington Blvd,Bartlesville,OK,74006,USA
115,-119.74780803540001,39.186538020148,Battle Born H-D,775-882-7433,2900 Research Way,Carson City,NV,89706,USA
116,-85.18291203305,42.26093603298,Battle Creek H-D,269-979-2233,5738 Beckley Rd,Battle Creek,MI,49015,USA
117,-77.1822999604,39.847059985622,Battlefield H-D,717-337-9005,21 Cavalry Field Rd,Gettysburg,PA,17325,USA
118,-82.28821498341,38.87809404172,Baxter H-D,740-446-6336,1699 Kerr Rd,Bidwell,OH,45614,USA
119,-76.33012401871,36.82121599093,Bayside H-D,757-397-5550,2211 Frederick Blvd,Portsmouth,VA,23704,USA
120,-78.42599996365,33.957849992439,Beach House H-D,910-575-9997,4919 Ocean Hwy,Shallotte,NC,28470,USA
121,-108.59099996270001,45.737800011411,Beartooth H-D,406-252-2888,6900 S Frontage Rd,Billings,MT,59101,USA
122,-109.5666239876,40.438336031511,Beers H-D,435-789-5196,2029 W US40,Vernal,UT,84078,USA
123,-83.98376201279001,41.021810034289,Ben Breece H-D,419-523-4274,6388 US 224,Ottawa,OH,45875,USA
124,-85.46160000376,40.220461031422,Benson Motorcycles,765-288-1817,6410 W Mcgalliard,Muncie,IN,47304,USA
125,-93.35576198995001,43.685945989564,Bergdale H-D,507-373-5236,905 Plaza St,Albert Lea,MN,56007,USA
126,-74.07371099106,40.892690001055,Bergen County H-D,201-843-6930,124 Essex St,Rochelle Park,NJ,07662,USA
127,-82.67235802486,27.821261035278003,Bert's Barracuda H-D,727-527-9672,2805 54th Ave N,St. Petersburg,FL,33714,USA
128,-82.18016998841999,27.000896008685004,Bert's Black Widow H-D,941-883-8000,2224 El Jobean Rd,Port Charlotte,FL,33948,USA
129,-93.61726596951,41.650569029152,Big Barn H-D,515-265-4444,81 NW 49th Pl,Des Moines,IA,50313,USA
130,-155.9955529868,19.642381975427,Big Island H-D,808-217-8560,75-5633 Palani Rd,Kailua Kona,HI,96740,USA
131,-70.32720001414,43.688779994845,Big Moose H-D,207-797-6061,375 Riverside St,Portland,ME,04103,USA
132,-111.23323899999998,47.493167,Big Sky H-D,406-205-4807,4258 10th Ave S,Great Falls,MT,59405,USA
133,-101.4870289899,32.248614979906996,Big Spring H-D,432-263-2322,908 W 3rd St,Big Spring,TX,79720,USA
134,-85.35654902458,32.641674019396,Big Swamp H-D Shop,334-364-0400,1201 Fox Run Pkwy,Opelika,AL,36801,USA
135,-117.186857,33.142066,Biggs H-D,800-442-7539,1040 Los Vallecitos Blvd #113,San Marcos,CA,92069,USA
136,-81.05493502691,36.951302038505,Black Bear H-D,276-228-9000,430 Lithia Rd,Wytheville,VA,24382,USA
137,-77.84350102766999,35.979799982159996,Black Cat H-D,252-446-7292,928 N Winstead Ave,Rocky Mount,NC,27804,USA
138,-88.96980199031,37.745657013729,Black Diamond H-D,618-997-4577,2400 Williamson Cnty Pkwy,Marion,IL,62959,USA
139,-103.2684399839,44.114210028201,Black Hills H-D,800-727-2482,2820 Harley Dr,Rapid City,SD,57702,USA
140,-79.694641,34.272877,Black Jack H-D,843-669-9961,2691 Alex Lee Blvd,Florence,SC,29506,USA
141,-82.45144198648,38.419325994327004,Black Sheep H-D,304-523-1340,408 4th St,Huntington,WV,25701,USA
142,-82.15485001914,36.625305013731,Black Wolf H-D,276-644-9653,1061 Old Abingdon Rd,Bristol,VA,24201,USA
143,-80.316101,43.417055,Blackbridge H-D,519-893-0493,310 Holiday Inn Dr,Cambridge,ON,N3C 3X4,CAN
144,-92.04301798716,32.493028007447,Bleu Bayou H-D,318-343-1650,6200 Frontage Rd,Monroe,LA,71202,USA
145,-81.30176698789,35.709522999823,Blue Ridge H-D,828-327-3030,2002 13th Ave Dr SE,Hickory,NC,28602,USA
146,-85.54164198227,38.225321983918,Bluegrass H-D,502-244-8095,11701 Gateworth Way,Louisville,KY,40299,USA
147,-88.98907701484,42.721080975607,Boardtracker H-D,608-757-0880,3223 N Pontiac Dr,Janesville,WI,53545,USA
148,-114.58971499459999,32.687910022214,Bobby's Territorial H-D,928-782-1931,2550 E Gila Ridge Rd,Yuma,AZ,85365,USA
149,-84.14836800657,35.908395973965,Bootlegger H-D,865-671-2454,605 Lovell Rd,Knoxville,TN,37932,USA
150,-93.73000902123002,32.560300994664004,Bossier City H-D,318-549-1571,2225 Autoplex Dr,Bossier City,LA,71111,USA
151,-71.02309201844,42.431553024798,Boston H-D,617-389-8888,649 Squire Rd,Revere,MA,02151,USA
152,-85.513397,36.137671999999995,Boswell's Country Roads H-D,931-526-3139,1424 Interstate Dr,Cookeville,TN,38501,USA
153,-86.74337299999999,36.149044,Boswell's H-D,800-475-0737,401 Fesslers Ln,Nashville,TN,37210,USA
154,-86.68918599999999,36.305211,Boswell's Ring of Fire H-D,615-855-1001,2200 Gallatin Pike N,Madison,TN,37115,USA
155,-90.9065869823,38.442391986027005,Bourbeuse Valley H-D,636-742-2707,1418 Hwy AT,Villa Ridge,MO,63089,USA
156,-74.09731996245,45.267154974862,Boutin H-D,450-373-6565,2000 boul Hebert,Valleyfield,QC,J6S 5T7,CAN
157,-82.344269,27.9439,Brandon H-D,813-740-9898,9841 E Adamo Dr,Tampa,FL,33619,USA
158,-85.83896803669,40.815802970901,Brandt's H-D,260-563-6443,1400 N Cass St,Wabash,IN,46992,USA
159,-85.55347697809,40.550981014966,Brandts I-69 H-D,765-664-1331,6333 E Steltzer Dr,Marion,IN,46953,USA
160,-74.89800000563001,40.168129960075,Brian's H-D,215-752-9400,600 S Flowers Mill Rd,Langhorne,PA,19047,USA
161,-83.75918903388,42.516203038393996,Brighton H-D,810-225-2915,5942 Whitmore Lake Rd,Brighton,MI,48116,USA
162,-72.84332002513,41.278579998761,Brothers' H-D,203-315-4759,557 W Main St,Branford,CT,06405,USA
163,-79.77104396559,43.600305989384005,Brown's H-D,905-858-0966,2815 Argentia Rd,Mississauga,ON,L5N 8G6,CAN
164,-81.13362500444,29.338057022540998,Bruce Rossmeyer's Daytona H-D,386-671-7100,1637 N US 1,Ormond Beach,FL,32174,USA
165,-81.01120202802,29.225532989948,Bruce Rossmeyer's Daytona H-D on Main Street,386-253-2453,510 Main St,Daytona Beach,FL,32118,USA
166,-80.94721600413,29.013834027572997,Bruce Rossmeyer's New Smyrna H-D,386-409-3034,1899 SR 44,New Smyrna Beach,FL,32168,USA
167,-73.602494,42.75885,Brunswick H-D,518-279-1145,1130 Hoosick Rd NY 7,Troy,NY,12180,USA
168,-84.19852104038,39.835391035303005,Buckeye H-D,800-783-2222,7220 N Dixie Dr,Dayton,OH,45414,USA
169,-83.9436069969,39.669723976403,Buckminns H-D,937-376-3344,1213 Cincinnati,Xenia,OH,45385,USA
170,-87.49387096613,37.991413995623,Bud's H-D Sales,812-473-2837,4700 E Morgan Ave,Evansville,IN,47715,USA
171,-112.14738800190001,33.865187969058,Buddy Stubbs Anthem H-D,623-465-1122,41715 N 41st Dr,Anthem,AZ,85086,USA
172,-112.0364039763,33.611418977378996,Buddy Stubbs Arizona H-D,602-971-3400,13850 N Cave Creek Rd,Phoenix,AZ,85022,USA
173,-100.75637002469999,41.110779996961,Budke's H-D,308-532-4339,695 Halligan Dr,North Platte,NE,69101,USA
174,-78.76671996898001,42.788280034437,Buffalo H-D,716-972-1556,140 Mid County Dr,Orchard Park,NY,14127,USA
175,-77.48185199685001,38.751330999657,Bull Run H-D,703-631-3750,9321 Center St,Manassas,VA,20110,USA
176,-89.69022396951,35.035888971759995,Bumpus H-D Shop of Collierville,901-316-1121,325 S Byhalia Rd,Collierville,TN,38017,USA
177,-88.84157798252,35.667148958891,Bumpus H-D of Jackson,888-477-2212,326 Carriage House Dr,Jackson,TN,38305,USA
178,-89.83558201230998,35.184805970637996,Bumpus H-D of Memphis,901-372-1121,2160 Whitten Rd,Memphis,TN,38133,USA
179,-86.43451801501,35.887185987085,Bumpus H-D of Murfreesboro,615-849-8025,2250 NW Broad St,Murfreesboro,TN,37129,USA
180,-72.50860196538,46.274979002773,Bécancour H-D,819-233-3303,4350 Arsenault,Bécancour,QC,G9H 1V8,CAN
181,-93.29100801609002,41.003966974094,C & C H-D,641-774-7494,130 E Lincoln,Chariton,IA,50049,USA
182,-92.10449899545999,30.246586007997,Cajun H-D,877-298-9732,724 I-10 S Frontage Rd,Scott,LA,70583,USA
183,-114.003240019,51.095443032681,Calgary H-D,403-250-3141,2475 Pegasus Rd NE,Calgary,AB,T2E 8C3,CAN
184,-98.63054403103001,29.451637007296,Caliente H-D,210-681-2254,7230 NW I-410-Loop,San Antonio,TX,78245,USA
185,-118.3032349683,33.789574988186004,California H-D,310-539-3366,1517 W Pacific Coast Hwy,Harbor City,CA,90710,USA
186,-87.50936801545001,41.523588979616,Calumet H-D,219-934-6366,10350 Calumet Ave,Munster,IN,46321,USA
187,-87.41568901576001,39.419963965192,Cannonball H-D,812-232-7821,3912 S US-41,Terre Haute,IN,47802,USA
188,-70.58946398085999,41.690634023398,Cape Cod H-D,508-563-7387,750 MacArthur Blvd,Pocasset,MA,02559,USA
189,-84.65075296349,42.680330006405,Capitol H-D,517-646-2345,9550 Woodlane Dr,Dimondale,MI,48821,USA
190,-81.22172098606,41.311919018626,Carlton H-D,330-274-3141,11771 SR 44,Mantua,OH,44255,USA
191,-77.83929096534,34.257145961746,Carolina Coast H-D,910-791-9997,6620 Market St,Wilmington,NC,28405,USA
192,-72.57685102522,45.859740022569,Carrier H-D Drummondville,819-395-2464,176 Boul Industriel,Drummondville,QC,J0C 1K0,CAN
193,-72.07900500000001,45.310261,Carrier H-D Sherbrooke,819-563-0707,9460 Boul Bourque,Sherbrooke,QC,J1N 0G2,CAN
194,-72.97273602336,45.643578032031,Carrier H-D St Hyacinthe,450-253-6686,5630 rue Martineau,St Hyacinthe,QC,J2R 1T6,CAN
195,-92.72239499999999,43.101157,Cedar River H-D Shop,641-228-2192,1750 Cedar View Rd,Charles City,IA,50616,USA
196,-82.72357103414001,39.994873004034,Centennial Park H-D,740-964-2205,12477 E Broad St,Pataskala,OH,43062,USA
197,-68.90041301026,44.805112034082,Central Maine H-D,888-560-2145,2387 US 2,Hermon,ME,04401,USA
198,-97.69169602543,30.53910696879,Central Texas H-D Round Rock,512-652-1200,2801 N IH-35,Round Rock,TX,78664,USA
199,-104.56325300030001,33.394559025763996,Champion H-D,575-624-0151,2801 W 2nd St,Roswell,NM,88201,USA
200,-111.9615479651,33.305059997364005,Chandler H-D,480-496-6800,6895 W Chandler Blvd,Chandler,AZ,85226,USA
201,-84.94184195995,32.564045023173,Chattahoochee H-D,706-324-4294,3230 Williams Rd,Columbus,GA,31909,USA
202,-112.4512189999,42.901301030069,Chester's Eagle Rock H-D,208-237-7433,1444 N Yellowstone Ave,Pocatello,ID,83201,USA
203,-112.0493000373,43.493460025638,Chester's Grand Teton H-D,208-523-1464,848 Houston St,Idaho Falls,ID,83402,USA
204,-119.78262503629999,39.515199987217,Chester's Reno H-D,775-329-2913,2315 Market St,Reno,NV,89502,USA
205,-87.85135796293001,41.565870987251,Chi-Town H-D,708-623-6000,17801 S La Grange,Tinley Park,IL,60487,USA
206,-87.82304297201,42.106342976911996,Chicago H-D,888-636-6413,2929 Patriot Blvd,Glenview,IL,60026,USA
207,-93.79821700975,41.02374298498,Chipp's H-D Shop,641-342-7494,1301 Southwest Blvd,Osceola,IA,50213,USA
208,-88.96682197228,40.459266984835,Chuck's H-D,309-662-1648,2027 Ireland Grove Rd,Bloomington,IL,61704,USA
209,-88.67581503465,32.362340977415,Chunky River H-D,601-482-4131,584 Bonita Lake Dr,Meridian,MS,39301,USA
210,-96.84771196916,39.002593969926,City Cycle Sales H-D,785-238-3411,1021 Golden Belt Blvd,Junction City,KS,66441,USA
211,-88.02919797599002,42.146350974217,City Limits H-D,847-358-2112,2015 N Rand Rd,Palatine,IL,60074,USA
212,-79.15635298936999,43.156802980228996,Clare's H-D of Niagara,905-684-4647,590 York Rd,Niagara on the Lake,ON,L0S 1J0,CAN
213,-75.99331600000001,40.390233,Classic H-D,610-916-7777,983 James Dr,Leesport,PA,19533,USA
214,-85.65582797862,44.694335963577004,Classic Motor Sports H-D,231-943-9344,3939 S Blue Star Dr,Traverse City,MI,49685,USA
215,-90.24731199257,41.815302008762,Clinton H-D,563-242-1901,2519 Lincolnway,Clinton,IA,52732,USA
216,-83.26639498583,36.243540002033,Colboch H-D,423-586-5343,1830 N Davy Crockett Pky,Morristown,TN,37814,USA
217,-81.21897901408,37.258311035111,Cole H-D,304-324-8116,1804 Bland St,Bluefield,WV,24701,USA
218,-77.63332203961,36.424343017861,Collier H-D,252-537-6493,316 Premier Blvd,Roanoke Rapids,NC,27870,USA
219,-77.37059002742,37.250540005043,Colonial H-D,804-861-4700,1701 Temple Pkwy,Prince George,VA,23875,USA
220,-122.65743300000001,45.695267,Columbia Motorcycle H-D,360-695-8831,1314 NE 102nd St,Vancouver,WA,98686,USA
221,-88.18118995986,41.531822020187,Conrad's H-D,815-725-2000,19356 NE Frontage Rd,Shorewood,IL,60404,USA
222,-112.4759819917,45.962423030287,Copper Canyon H-D,406-565-4708,34 Olympic Way,Butte,MT,59701,USA
223,-117.1018609777,32.654158025979,Coronado Beach H-D,619-477-4477,3201 Hoover Ave,National City,CA,91950,USA
224,-97.46136702597,27.758153015747,Corpus Christi H-D,361-854-3146,502 South Padre Island Dr,Corpus Christi,TX,78405,USA
225,-97.79409999959,30.143560012802,Cowboy H-D of Austin,512-448-4294,10917 South IH 35,Austin,TX,78747,USA
