long,lat,name,info,a,b,c,d,e
-112.038734,33.507184,Trader Joe's; #090,602-912-9022,4821 N. 20th St,Phoenix,AZ,85016,USA
-71.309006,42.644356,Trader Joe's; #562,603-222-3074,2 Market St,Bedford,NH,03110,USA
-70.796153,43.093339,Trader Joe's; #520,603-431-2654,45 Gosling Rd,Newington,NH,03801,USA
-71.463052,42.756048,Trader Joe's; #507,603-888-5460,262 Daniel Webster Hwy,Nashua,NH,03060,USA
-89.416741,43.065363,Trader Joe's; #712,608-257-1916,1810 Monroe St,Madison,WI,53711,USA
-74.664785,40.309161,Trader Joe's; #607,609-897-0581,3528 US 1 (Brunswick Pike),Princeton,NJ,08540,USA
-75.43169,40.073015,Trader Joe's; #632,610-225-0925,171 East Swedesford Rd,Wayne,PA,19087,USA
-75.287423,40.007763,Trader Joe's; #635,610-658-0645,112 Coulter Ave,Ardmore,PA,19003,USA
-75.388914,39.91771,Trader Joe's; #637,610-891-2752,12 East State St,Media,PA,19063,USA
-93.258408,44.977539,Trader Joe's; #725,612-339-2110,721 Washington Ave S,Minneapolis,MN,55415,USA
-82.917843,40.049237,Trader Joe's; #679,614-473-0794,3888 Townsfair Way,Columbus,OH,43219,USA
-83.091714,40.095928,Trader Joe's; #672,614-793-8505,6355 Sawmill Rd,Dublin,OH,43017,USA
-86.81412,36.10572,Trader Joe's; #664,615-297-6560,3909 Hillsboro Pike,Nashville,TN,37215,USA
-86.852143,36.130405,Trader Joe's; #739,615-356-1066,90 White Bridge Rd,Nashville,TN,37205,USA
-85.576571,42.912535,Trader Joe's; #707,616-977-1819,3684 28th st SE,Kentwood,MI,49512,USA
-71.219568,42.349673,Trader Joe's; #509,617-244-1620,1121 Washington St,West Newton,MA,02465,USA
